VID,"videoInfo.videoError: Descending","Unique count of vid",errors
195,3,1,5
196,4,1,1
235,4,1,15
295,4,1,4
457,3,1,1
457,4,1,1
633,4,1,2
691,4,1,3
879,4,1,4
"1,004",4,1,3
"1,090",3,1,7
"1,215",4,1,6
"1,299",4,1,2
"1,354",4,1,1
"1,379",4,1,1
"1,406",3,1,1
"1,515",4,1,4
"1,532",4,1,1
"1,719",3,1,1
"1,727",4,1,2
"1,966",3,1,1
"1,982",4,1,1
"2,012",4,1,1
"2,077",4,1,1
"2,228",3,1,4
"2,392",4,1,1
"2,528",4,1,1
"2,551",3,1,1
"2,619",4,1,1
"2,674",3,1,1
"2,705",4,1,25
"2,836",4,1,10
"2,859",4,1,1
"2,866",4,1,1
"2,894",4,1,2
"2,932",4,1,1
"2,966",4,1,2
"3,250",4,1,1
"3,411",3,1,4
"3,418",4,1,15
"3,445",3,1,1
"3,898",3,1,3
"3,898",4,1,1
"3,912",4,1,1
"3,950",4,1,2
"3,976",4,1,9
"4,102",4,1,1
"4,323",3,1,8
"4,431",4,1,1
"4,472",4,1,1
"4,542",3,1,1
"4,542",4,1,1
"4,610",4,1,1
"4,615",3,1,1
"4,648",4,1,2
"4,700",4,1,1
"4,864",4,1,4
"5,081",4,1,2
"5,191",4,1,3
"5,449",3,1,11
"5,543",4,1,2
"5,545",4,1,11
"6,231",3,1,1
"6,233",4,1,4
"6,337",4,1,1
"6,504",4,1,1
"6,538",4,1,1
"6,680",4,1,1
"6,751",3,1,2
"6,751",4,1,1
"6,873",4,1,3
"7,014",3,1,1
"7,305",4,1,2
"7,813",4,1,1
"8,295",4,1,1
"8,527",4,1,1
"8,636",4,1,5
"8,719",3,1,1
"8,719",4,1,3
"8,894",4,1,4
"9,004",4,1,1
"9,142",4,1,2
"9,393",4,1,1
"9,685",4,1,1
"9,718",3,1,1
"9,740",3,1,1
"9,911",3,1,1
"9,911",4,1,1
"10,135",3,1,1
"10,278",4,1,1
"10,620",4,1,1
"10,650",3,1,1
"10,774",3,1,1
"10,774",4,1,1
"10,895",4,1,1
"11,201",4,1,1
"11,253",3,1,1
"11,253",4,1,17
"11,260",3,1,1
"11,557",4,1,1
"11,581",3,1,4
"11,906",4,1,1
"12,021",3,1,1
"12,199",4,1,2
"12,226",3,1,1
"12,507",4,1,1
"12,728",4,1,4
"13,247",4,1,1
"13,727",3,1,1
"13,812",3,1,6
"13,815",4,1,1
